Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Shai Gilgeous-Alexander,27,OKC,PG,5,5,193,11.8,22.8,0.516,1.3,5.6,0.233,10.4,17.2,0.609,0.545,7.6,9,0.854,0.2,5.6,5.8,5,1.3,1.3,2.2,1.9,32.5,NA
2,Austin Reaves,27,LAL,SG,5,5,191,9.8,18.7,0.525,2.8,7.4,0.385,7,11.3,0.617,0.601,9.8,10.9,0.897,0.4,4.9,5.3,9.4,1.7,0,3.6,1.9,32.2,NA
3,Zach LaVine,30,SAC,SG,5,5,183,10.4,19.3,0.541,3.1,8.3,0.381,7.3,11,0.661,0.622,4.7,4.9,0.96,0.2,2.8,3,1.6,0.4,0.2,2.2,1.8,28.7,NA
4,DeMar DeRozan,36,SAC,SF,5,5,182,7.1,14.2,0.5,0.6,2,0.3,6.5,12.3,0.532,0.521,4,5.3,0.741,0.6,3.8,4.4,5.1,1.4,0.2,1,1.4,18.8,NA
5,Luguentz Dort,26,OKC,SF,5,5,182,2.4,8.5,0.279,1,5.5,0.179,1.4,3,0.467,0.337,1.6,1.6,1,1.6,3.6,5.1,2,1,0,1,3,7.3,NA
6,Devin Booker,29,PHO,SG,5,5,181,9.1,19.3,0.474,2.6,7,0.371,6.6,12.3,0.532,0.541,8.2,9.9,0.82,1.6,2.4,4,6,0.4,0.4,4.6,2.8,29,NA
7,Rui Hachimura,27,LAL,PF,5,5,181,6.6,10.9,0.6,1.6,4,0.4,5,7,0.714,0.673,1.8,2.4,0.75,0.8,3.2,4,2,0.4,0.2,1.8,2.4,16.5,NA
8,Paolo Banchero,23,ORL,PF,5,5,180,7,17.4,0.402,0.6,3.8,0.158,6.4,13.6,0.471,0.42,8.4,11.2,0.75,1.2,7.8,9,3,0.6,1.4,2.8,2.4,23,NA
9,Grayson Allen,30,PHO,SG,5,5,176,5.5,13.3,0.415,3.5,9.2,0.378,2,4.1,0.5,0.546,2.7,3.1,0.867,0.6,2.5,3.1,5.3,0.8,0.2,2.5,3.1,17.2,NA
10,Cade Cunningham,24,DET,PG,5,5,176,7.8,19.6,0.396,1.6,6.8,0.242,6.1,12.9,0.476,0.438,5.5,6.8,0.818,1.2,4.5,5.7,8.4,0.8,1.2,4.5,3.7,22.7,NA
11,Julius Randle,31,MIN,PF,5,5,176,9.2,16.8,0.549,2.7,5.7,0.464,6.5,11,0.593,0.628,6.1,7.6,0.811,1,5.5,6.5,5.5,1.2,0.4,2.3,2.3,27.2,NA
12,Franz Wagner,24,ORL,SF,5,5,175,8.2,15.4,0.533,1.6,3.9,0.421,6.6,11.5,0.571,0.587,4.9,7,0.706,1,4.7,5.8,3.1,1,0.4,2.1,3.5,23,NA
13,Deandre Ayton,27,LAL,C,5,5,172,8,12.8,0.623,0,0,NA,8,12.8,0.623,0.623,0.8,2.1,0.4,3.3,6.5,9.8,1.5,0.8,1,2.9,3.6,16.7,NA
14,Tyrese Maxey,25,PHI,PG,4,4,172,9.6,21.1,0.455,3.8,8,0.474,5.9,13.2,0.444,0.545,8.4,9.6,0.87,0.2,2.9,3.1,6.9,0.8,0.6,1.7,2.5,31.4,NA
15,Derrick White,31,BOS,SG,5,5,171,5.9,18.9,0.311,2.9,11.8,0.25,2.9,7.2,0.412,0.389,3.2,3.4,0.938,0.6,3.4,4,4.6,1.5,1.1,1.1,2.1,17.9,NA
16,Evan Mobley,24,CLE,PF,5,5,169,6.4,15.3,0.417,1.9,6.4,0.3,4.5,8.9,0.5,0.479,4.9,6.8,0.719,2.1,7.7,9.8,4.9,1.7,2.1,2.8,2.8,19.6,NA
17,Payton Pritchard,28,BOS,PG,5,5,169,5.8,14.5,0.397,1.5,7.9,0.189,4.3,6.6,0.645,0.449,2.6,3.4,0.75,1.5,4,5.5,6.4,1.3,0,1.3,2.3,15.6,NA
18,Jaden McDaniels,25,MIN,PF,5,5,168,7.5,15.4,0.486,1.7,4.5,0.381,5.8,10.9,0.529,0.542,3.4,4.1,0.842,1.5,3.2,4.7,1.1,0.6,2.1,1.5,3.2,20.1,NA
19,P.J. Washington,27,DAL,PF,5,5,167,6,12.3,0.491,1.5,3.9,0.389,4.5,8.4,0.538,0.553,2.8,4.7,0.591,1.5,7.3,8.8,2.6,0.9,1.1,3.4,3,16.4,NA
20,Donovan Mitchell,29,CLE,SG,5,5,166,10.6,19.5,0.544,3.5,8.7,0.4,7.2,10.8,0.66,0.633,5.6,7.6,0.743,0,2.6,2.6,4.8,1.3,0.4,4.1,2,30.4,NA
21,Royce O'Neale,32,PHO,SF,5,2,166,4.8,11.7,0.407,4.1,10,0.413,0.7,1.7,0.375,0.583,0.4,0.9,0.5,2,4.3,6.3,3.7,1.7,0.2,2.2,3.5,14.1,NA
22,Scottie Barnes,24,TOR,PF,5,5,164,9.2,17.1,0.538,2.4,4.4,0.55,6.8,12.7,0.534,0.609,3.5,4.4,0.8,1.3,5.3,6.6,4.8,1.5,0.9,2.4,4.2,24.4,NA
23,Jaylen Brown,29,BOS,SF,5,5,163,10.4,19.9,0.522,3.3,7.1,0.469,7.1,12.8,0.552,0.606,5.5,7.3,0.758,0.4,5.7,6.2,4.2,0.4,0.4,4,4.6,29.6,NA
24,Jimmy Butler,36,GSW,SF,5,5,163,6.8,12.6,0.544,1.8,3.1,0.571,5.1,9.5,0.535,0.614,8.2,9.3,0.881,1.8,3.3,5.1,5.3,1.1,0,1.8,1.3,23.6,NA
25,Isaiah Hartenstein,27,OKC,C,5,5,163,4.6,8,0.583,0,0.4,0,4.6,7.5,0.618,0.583,0.7,1.5,0.429,3.3,9.5,12.8,2.7,1.3,0.4,1.8,3.8,9.9,NA
26,Deni Avdija,25,POR,SF,5,5,162,8.4,17.6,0.481,2.7,7.1,0.375,5.8,10.4,0.553,0.557,5.6,6.9,0.806,1.3,5.8,7.1,4.7,0.7,1.1,4.2,2.9,25.1,NA
27,Desmond Bane,27,ORL,SG,5,5,162,7.3,16.9,0.434,1.6,5.8,0.269,5.8,11.1,0.52,0.48,3.3,3.6,0.938,1.8,3.6,5.3,3.1,0.2,0.4,2.7,4,19.6,NA
28,Toumani Camara,25,POR,PF,5,5,162,4.4,11.3,0.392,1.8,5.8,0.308,2.7,5.6,0.48,0.471,1.6,1.8,0.875,2.7,3.1,5.8,4.2,1.3,0.2,1.1,3.1,12.2,NA
29,Brandon Ingram,28,TOR,SF,5,5,162,9.6,17.6,0.544,2.2,4.9,0.455,7.3,12.7,0.579,0.608,3.1,3.6,0.875,0.7,5.1,5.8,4,1.1,0.4,3.6,3.3,24.4,NA
30,Cooper Flagg,19,DAL,SF,5,5,161,5.6,13.6,0.41,0.9,3.4,0.267,4.7,10.3,0.457,0.443,2.9,2.9,1,0.7,6.3,6.9,3.1,0.9,0.7,2.2,2.9,15,NA
31,Jrue Holiday,35,POR,PG,5,5,161,8.3,16.1,0.514,2.9,7.6,0.382,5.4,8.5,0.632,0.604,2.5,2.9,0.846,1.3,4.7,6,8.7,1.6,0.4,3.6,2.9,21.9,NA
32,VJ Edgecombe,20,PHI,SG,4,4,161,7.4,15.7,0.471,2.7,6.3,0.429,4.7,9.4,0.5,0.557,2.5,3.1,0.786,1.1,4,5.1,4.9,1.3,0.4,1.8,3.1,19.9,NA
33,Michael Porter Jr.,27,BRK,SF,5,5,160,9.7,19.1,0.506,3.6,8.8,0.41,6.1,10.4,0.587,0.6,1.4,2,0.667,0.9,6.1,7,3.6,0.7,0.2,2,2.5,24.3,NA
34,Rudy Gobert,33,MIN,C,5,5,159,3.8,5.7,0.68,0,0,NA,3.8,5.7,0.68,0.68,2,3.8,0.529,3.6,5.9,9.5,1.4,0.2,1.6,1.4,4.1,9.7,NA
35,Immanuel Quickley,26,TOR,PG,5,5,159,5.7,13.6,0.417,1.8,6.6,0.276,3.8,7,0.548,0.483,4.1,5.7,0.72,1.1,3.8,5,7.9,1.8,0,2,2.7,17.2,NA
36,Tobias Harris,33,DET,PF,5,5,158,5.7,13.4,0.424,1.6,5.2,0.304,4.1,8.2,0.5,0.483,3,3,1,1.1,5.7,6.8,3.6,1.1,0.2,1.6,3.4,15.9,NA
37,Dennis Schröder,32,SAC,PG,5,5,158,6.2,14.8,0.415,1.6,5.5,0.292,4.6,9.3,0.488,0.469,0.2,0.2,1,0.5,3,3.4,7.3,1.8,0.5,3,2.7,14.1,NA
38,RJ Barrett,25,TOR,SF,5,5,156,8.8,15.2,0.576,1.8,5.1,0.364,6.9,10.2,0.682,0.636,2.8,3.5,0.8,0.5,4.6,5.1,3.7,1.6,0.5,2.5,3.5,22.2,NA
39,Duncan Robinson,31,DET,SF,5,5,156,3.5,8.8,0.395,2.8,7.2,0.387,0.7,1.6,0.429,0.553,1.8,2.3,0.8,0.7,2.1,2.8,1.4,0.2,0.9,0.5,3.2,11.5,NA
40,Onyeka Okongwu,25,ATL,C,5,2,155,7,12.8,0.545,1.4,3.9,0.353,5.6,8.8,0.632,0.6,2.3,3.7,0.625,2.1,8.6,10.7,2.8,0.7,1.2,0.5,4.2,17.7,NA
41,Kelly Oubre Jr.,30,PHI,SF,4,4,155,5.3,10.5,0.511,2.1,4.6,0.45,3.3,5.8,0.56,0.611,3.7,3.9,0.941,1.6,4.4,6,1.6,0.9,0.9,0.7,1.6,16.5,NA
42,Lauri Markkanen,28,UTA,PF,4,4,153,10.4,20.5,0.506,3.8,9.4,0.4,6.6,11.1,0.596,0.598,7.5,8.2,0.914,2.1,4.7,6.8,2.6,0.7,0.7,0.9,1.2,32,NA
43,Stephen Curry,37,GSW,PG,5,5,152,10.4,20.6,0.506,5.2,12.3,0.423,5.2,8.3,0.629,0.632,5.9,5.9,1,0.2,4.3,4.5,5.9,2.1,0.9,2.6,1.9,32,NA
44,Alperen Şengün,23,HOU,C,4,4,152,7.1,14.4,0.492,1.9,3.3,0.571,5.2,11.1,0.468,0.557,6.4,8.1,0.794,2.1,5.4,7.6,6.9,1.9,0.7,2.8,2.6,22.5,NA
45,Jonathan Kuminga,23,GSW,PF,5,5,151,6.9,12.9,0.537,1.7,3.8,0.438,5.2,9.1,0.579,0.602,3.8,5,0.762,2.6,6.2,8.8,4.1,1,0.2,2.9,3.3,19.3,NA
46,Cam Thomas,24,BRK,SG,5,5,151,8.1,20.7,0.391,2.6,8.1,0.324,5.5,12.6,0.434,0.454,9.1,10.5,0.864,0.2,1.7,1.9,3.8,0.5,0.2,2.9,2.4,27.9,NA
47,Nickeil Alexander-Walker,27,ATL,SG,5,2,150,7,17,0.408,2.6,8.4,0.314,4.3,8.6,0.5,0.486,2.9,3.4,0.857,1,2.4,3.4,3.8,1.7,1.2,1.2,1.4,19.4,NA
48,Dyson Daniels,22,ATL,SG,5,5,150,2.6,8.4,0.314,0.2,0.7,0.333,2.4,7.7,0.313,0.329,1,1.9,0.5,1,5.5,6.5,3.6,2.6,0.7,2.2,4.1,6.5,NA
49,Donte DiVincenzo,29,MIN,SG,5,5,150,4.6,10.6,0.432,3.1,7.4,0.419,1.4,3.1,0.462,0.58,2.9,3.4,0.857,0.5,2.6,3.1,4.6,1.7,0.5,2.6,3.1,15.1,NA
50,Anthony Davis,32,DAL,PF,5,5,149,9.4,18.1,0.52,0.7,2.7,0.273,8.7,15.5,0.563,0.54,5.6,7.5,0.742,4.1,8.2,12.3,2.7,1.9,1.4,2.7,3.1,25.1,NA
51,Brandin Podziemski,22,GSW,SG,5,3,148,5.4,11.9,0.449,2.7,6.3,0.423,2.7,5.6,0.478,0.561,1.5,2.4,0.6,1.2,4.6,5.8,3.2,1.5,0.2,1.2,2.2,14.8,NA
52,Max Christie,22,DAL,SG,5,2,147,4.7,8.8,0.528,3.4,6.6,0.519,1.2,2.2,0.556,0.722,1.7,1.7,1,0,1.7,1.7,2.2,0.2,0.5,1.5,2,14.4,NA
53,Mikal Bridges,29,NYK,SF,4,4,146,6.4,11.8,0.542,2.2,4.7,0.474,4.2,7.2,0.586,0.635,2.7,3,0.917,1.7,4.9,6.7,4.4,1.5,0.7,0.7,3,17.8,NA
54,Kevin Durant,37,HOU,PF,4,4,145,8.7,16.6,0.522,1.7,4.7,0.368,7,11.9,0.583,0.575,8.2,9.7,0.846,0.2,5.5,5.7,2,1,1,2.2,3.7,27.3,NA
55,Aaron Wiggins,27,OKC,SG,5,2,144,6.8,15,0.45,3.2,8.5,0.382,3.5,6.5,0.538,0.558,1,1,1,2,4,6,3,0.2,1,1.7,2.7,17.7,NA
56,Trey Murphy III,25,NOP,SF,4,4,143,4.5,13.1,0.346,1.3,5.8,0.217,3.3,7.3,0.448,0.394,2.5,2.8,0.909,1.5,5.8,7.3,3.3,1,0,0.8,2.3,12.8,NA
57,Pascal Siakam,31,IND,PF,4,4,143,9.3,21.1,0.44,2.5,6,0.417,6.8,15.1,0.45,0.5,5.3,9.6,0.553,2,9.1,11.1,5.3,1.5,0.3,2,3,26.4,NA
58,Jabari Smith Jr.,22,HOU,PF,4,4,143,5.5,13.1,0.423,2.5,6.8,0.37,3,6.3,0.48,0.519,2.3,2.5,0.9,1.3,3.8,5,1.8,1.5,0.5,0.5,2.3,15.9,NA
59,Jake LaRavia,24,LAL,PF,5,2,142,4.6,8.6,0.529,2.3,4.6,0.5,2.3,4.1,0.563,0.662,1.8,3.5,0.5,1.8,4.1,5.8,3.3,0.8,0.3,1.8,3.3,13.2,NA
60,Wendell Carter Jr.,26,ORL,C,5,5,141,3.1,7.7,0.4,1,2,0.5,2,5.6,0.364,0.467,4.3,6.4,0.68,4.6,5.9,10.5,1.8,1.3,0.8,2.6,5.6,11.5,NA
61,Draymond Green,35,GSW,PF,5,5,141,4.3,8.7,0.5,2.3,5.1,0.45,2,3.6,0.571,0.632,1,2.3,0.444,0.8,6.6,7.4,9.2,1.3,0.8,3.6,5.1,12,NA
62,Anfernee Simons,26,BOS,SG,5,0,141,6.9,14.8,0.466,3.8,9.2,0.417,3.1,5.6,0.545,0.595,1.3,1.5,0.833,0.8,2.3,3.1,2,1.3,0.3,1.8,2.8,18.9,NA
63,Ja Morant,26,MEM,PG,5,5,140,10.3,23.7,0.435,1.3,6.7,0.192,9,17,0.53,0.462,8.2,8.5,0.97,0.5,4.4,4.9,8.5,1.3,0,3.6,2.1,30.1,NA
64,Shaedon Sharpe,22,POR,SG,5,5,139,7.5,23.1,0.326,2.3,9.8,0.237,5.2,13.2,0.392,0.376,4.7,4.7,1,1.6,4.1,5.7,2.1,2.1,0,4.7,3.1,22,NA
65,Trae Young,27,ATL,PG,5,5,139,6.7,18.1,0.371,1.3,6.7,0.192,5.4,11.4,0.477,0.407,8.3,10.1,0.821,0,2.6,2.6,10.1,1,0.3,2.6,2.3,23.1,NA
66,Jalen Brunson,29,NYK,PG,4,4,139,11.1,23.1,0.483,2.6,8.3,0.313,8.5,14.8,0.579,0.539,8,9.1,0.886,0.5,3.6,4.1,5.2,1.3,0,2.1,2.6,32.9,NA
67,Ausar Thompson,23,DET,SF,5,5,138,7.3,15.7,0.467,0.5,2.3,0.222,6.8,13.3,0.51,0.483,2.9,4.7,0.611,2.9,6.8,9.7,5.2,1.3,0.8,1.3,4.7,18,NA
68,Keyonte George,22,UTA,PG,4,4,138,6.5,15.4,0.424,1.6,7,0.222,5,8.3,0.594,0.475,8.6,8.9,0.971,0.3,2.6,2.9,9.7,1,0.3,4.4,2.9,23.2,NA
69,Jerami Grant,31,POR,PF,5,0,137,8.1,15.5,0.525,3.7,7.9,0.467,4.5,7.6,0.586,0.644,8.4,9.7,0.865,1.3,2.1,3.4,1.8,1.8,0.8,1.8,4.2,28.4,NA
70,OG Anunoby,28,NYK,PF,4,4,137,5,13.4,0.373,2.9,8.9,0.324,2.1,4.5,0.471,0.48,2.1,2.9,0.727,1.6,5.8,7.4,2.4,2.4,0.8,2.4,2.9,15,NA
71,Chet Holmgren,23,OKC,C,4,4,137,7.6,13.4,0.569,2.6,6.3,0.417,5,7.1,0.704,0.667,6.3,7.4,0.857,2.4,8.4,10.8,1.8,1.3,1.3,3.2,4.2,24.2,NA
72,Nikola Jokić,30,DEN,C,4,4,137,8.4,14.7,0.571,0.8,4.7,0.167,7.6,10,0.763,0.598,3.7,3.9,0.933,2.6,12.6,15.2,11.8,2.1,0.5,3.2,3.7,21.3,NA
73,Devin Vassell,25,SAS,SG,4,4,136,6.6,14.6,0.455,3.4,7.9,0.433,3.2,6.6,0.48,0.573,1.1,1.6,0.667,0.5,3.2,3.7,2.9,1.6,0,2.4,2.4,17.7,NA
74,Jarrett Allen,27,CLE,C,5,5,135,6.1,10.7,0.575,0,0.3,0,6.1,10.4,0.59,0.575,6.4,8,0.8,2.1,7.2,9.3,2.4,1.9,0.5,2.1,2.1,18.7,NA
75,Karl-Anthony Towns,30,NYK,C,4,4,135,5.1,14.4,0.352,1.9,5.6,0.333,3.2,8.8,0.364,0.417,6.1,7.2,0.852,3.5,10.9,14.4,2.1,0.8,1.1,3.7,4.3,18.1,NA
76,Jaren Jackson Jr.,26,MEM,C,5,5,134,8.3,16.7,0.5,1.6,5.4,0.3,6.7,11.3,0.595,0.548,5.4,6.4,0.833,0.8,6.2,7,1.6,1.3,2.1,3.2,5.4,23.6,NA
77,Jaylen Wells,22,MEM,SG,5,5,134,4,11.8,0.341,2.1,8.1,0.267,1.9,3.8,0.5,0.432,2.4,3.5,0.692,0.5,3.2,3.8,2.1,1.1,0,1.3,3,12.6,NA
78,Jamal Murray,28,DEN,PG,4,4,134,10.7,21.5,0.5,3.2,7.8,0.414,7.5,13.7,0.549,0.575,4.3,4.6,0.941,0.8,3.8,4.6,6.4,1.3,0,2.1,1.6,29,NA
79,Domantas Sabonis,29,SAC,C,4,4,134,6.2,12.4,0.5,0.5,2.4,0.222,5.6,9.9,0.568,0.522,0.5,1.3,0.4,3.8,11,14.8,3.5,1.3,0.3,3,4.3,13.4,NA
80,Amen Thompson,23,HOU,SF,4,4,134,5.9,12.9,0.458,0,2.7,0,5.9,10.2,0.579,0.458,3.8,5.4,0.7,1.6,4,5.6,5.6,1.1,0.3,2.7,3.8,15.6,NA
81,Ajay Mitchell,23,OKC,SG,5,0,133,9.5,20,0.473,2.2,6.2,0.348,7.3,13.8,0.529,0.527,3.5,3.5,1,1.6,3.5,5.1,4.1,1.6,0.3,1.9,4.1,24.6,NA
82,Nic Claxton,26,BRK,C,5,5,132,7.6,14.2,0.538,0,0.8,0,7.6,13.4,0.571,0.538,1.4,2.2,0.625,4.1,4.6,8.7,3.3,1.1,0.3,1.4,4.4,16.6,NA
83,Kyshawn George,22,WAS,SG,4,4,132,7.9,14.7,0.537,3.8,7.1,0.538,4.1,7.6,0.536,0.667,2.5,4.1,0.6,1.1,9,10.1,5.5,1.4,1.6,3,5.5,22.1,NA
84,CJ McCollum,34,WAS,PG,4,4,132,4.9,15.3,0.321,1.9,7.4,0.259,3,7.9,0.379,0.384,2.7,3.5,0.769,1.1,3,4.1,5.5,0.5,0,1.1,2.5,14.5,NA
85,Bam Adebayo,28,MIA,C,4,4,131,7.4,17.3,0.429,2.5,6.3,0.391,4.9,11,0.45,0.5,5.8,6.3,0.913,1.6,8.2,9.9,3,0.5,0,3.3,2.2,23.1,NA
86,Giannis Antetokounmpo,31,MIL,PF,4,4,131,15.7,22.5,0.695,1.1,1.9,0.571,14.6,20.6,0.707,0.72,7.4,11.5,0.643,4.4,11,15.4,7.7,0.8,1.4,3.6,2.7,39.8,NA
87,Donovan Clingan,21,POR,C,5,5,130,5.5,9.7,0.571,1.1,3.9,0.286,4.4,5.8,0.762,0.629,2.2,2.5,0.889,6.4,6.1,12.5,3.3,1.4,2.2,1.1,3.9,14.4,NA
88,LaMelo Ball,24,CHO,PG,4,4,130,9.4,21,0.447,4.7,11.9,0.395,4.7,9.1,0.515,0.559,5.5,6.9,0.8,1.9,7.2,9.1,10.5,1.9,0.3,4.4,4.2,29.1,NA
89,Aaron Nesmith,26,IND,SF,4,4,130,4.2,14.1,0.294,3,8.3,0.367,1.1,5.8,0.19,0.402,0.6,1.9,0.286,1.7,3.6,5.3,1.1,0,0.6,0.6,3,11.9,NA
90,Nikola Vučević,35,CHI,C,4,4,130,7.8,13.3,0.583,1.9,3.9,0.5,5.8,9.4,0.618,0.656,2.8,2.8,1,3.3,11.4,14.7,5.5,1.1,0.3,2.2,2.5,20.2,NA
91,Miles Bridges,27,CHO,SF,4,4,129,6.7,17,0.393,2.5,8.1,0.31,4.2,8.9,0.469,0.467,5,5.9,0.857,1.1,6.7,7.8,4.2,0.8,0.3,1.1,1.4,20.9,NA
92,Jordan Poole,26,NOP,SG,4,3,129,5.9,16.5,0.356,2.8,8.7,0.323,3.1,7.8,0.393,0.441,4.7,4.7,1,0.8,1.1,2,3.6,0.3,0.3,1.4,3.3,19.3,NA
93,Victor Wembanyama,22,SAS,C,4,4,129,12.3,20.4,0.603,1.1,3.1,0.364,11.2,17.3,0.645,0.63,8.9,11.2,0.8,2,13.4,15.3,3.1,1.7,5.3,1.7,3.9,34.6,NA
94,Anthony Black,22,ORL,PG,5,0,128,5.6,11.8,0.476,1.1,3.9,0.286,4.5,7.9,0.571,0.524,3.9,6.2,0.636,0.8,4.2,5.1,2.5,1.1,0.8,3.9,3.7,16.3,NA
95,Kawhi Leonard,34,LAC,SF,4,4,128,9,19.1,0.471,2,5.3,0.368,7,13.8,0.51,0.522,3.9,4.2,0.933,0.8,6.2,7,3.4,1.4,0.6,2,1.1,23.9,NA
96,Collin Gillespie,26,PHO,PG,5,0,127,5.7,13.6,0.417,3.7,9.9,0.371,2,3.7,0.538,0.552,0.6,0.9,0.667,1.4,3.7,5.1,7.9,2,1.1,2.3,1.1,15.6,NA
